# Table for 100 first results of california businesses on yelp


1	South Gate Brewing Company	4	\N	0	1	1	1	2020-04-19 21:59:39
2	The Cool Bean Cafe	4.5	\N	0	0	1	1	2020-04-19 21:59:40
3	Plazuelas Mexican Restaurant & Taqueria	4.5	\N	0	0	1	2	2020-04-19 21:59:42
4	Miller's Landing	4.5	\N	0	1	2	3	2020-04-19 21:59:44
5	Erna's Elderberry House	4.5	\N	0	0	1	4	2020-04-19 21:59:45
6	Casa Velasco Mexican Restaurant	4.5	\N	0	1	2	5	2020-04-19 21:59:46
7	Love Cafe	5	\N	0	0	1	6	2020-04-19 21:59:48
8	Pete's Place	4.5	\N	0	1	1	5	2020-04-19 21:59:49
9	Wild Fig Kitchen	4.5	\N	0	1	3	7	2020-04-19 21:59:51
10	Shaver Lake Pizza	3.5	\N	0	1	4	8	2020-04-19 21:59:52
11	Yosemite National Park	4.5	https://en.wikipedia.org/wiki/Yosemite_National_Park	0	1	5	9	2020-04-19 21:59:53
12	Seasons Bistro and Tavern	4.5	\N	0	1	4	10	2020-04-19 21:59:55
13	Ducey's on the Lake	3.5	\N	0	1	2	11	2020-04-19 21:59:56
14	Huntington Lake	4.5	https://en.wikipedia.org/wiki/Huntington_Lake	0	0	6	12	2020-04-19 21:59:58
15	REV's Farm House	4.5	\N	0	1	1	13	2020-04-19 22:00:00
16	Cressman's General Store	5	\N	0	1	4	14	2020-04-19 22:00:01
17	SKADI	5	\N	0	1	7	15	2020-04-19 22:00:03
18	Bob's Blue Sky Cafe	3.5	\N	0	1	4	14	2020-04-19 22:00:04
19	Black Velvet Coffee	4.5	\N	0	1	7	16	2020-04-19 22:00:06
20	Shaver Lake Pub N Grub	4	\N	0	1	4	17	2020-04-19 22:00:07
21	Reimer's Candies & Gifts	4.5	\N	0	1	1	14	2020-04-19 22:00:08
22	The Stove Restaurant	4	\N	0	1	7	18	2020-04-19 22:00:10
23	Dog House Grill	4	\N	0	1	8	19	2020-04-19 22:00:12
24	Hungry Hut	3.5	\N	0	1	4	20	2020-04-19 22:00:13
25	Half Dome Day Hike	5	\N	0	0	9	21	2020-04-19 22:00:14
26	Toomey's	4	\N	0	1	7	22	2020-04-19 22:00:16
27	Dicicco's Italian Restaurant	4	\N	0	1	1	23	2020-04-19 22:00:17
28	House of JuJu	4.5	\N	0	1	10	24	2020-04-19 22:00:18
29	El Cid Mexican Cuisine	3.5	\N	0	1	1	25	2020-04-19 22:00:20
30	Shaver Coffee & Deli	4	\N	0	1	4	8	2020-04-19 22:00:21
31	Don Fernando's	5	\N	0	1	10	26	2020-04-19 22:00:22
32	The Cake Barn	5	\N	0	1	11	27	2020-04-19 22:00:24
33	The Mogul Restaurant	4.5	\N	0	1	7	28	2020-04-19 22:00:25
34	Roberto's Cafe	4	\N	0	1	7	29	2020-04-19 22:00:27
35	Batter Up Pancakes	4.5	\N	0	1	8	30	2020-04-19 22:00:28
