# Table for 100 first results of california businesses on yelp


1	Oakhurst	2020-04-19 21:59:39
2	Bass Lake	2020-04-19 21:59:44
3	Coarsegold	2020-04-19 21:59:51
4	Shaver Lake	2020-04-19 21:59:52
5	Yosemite	2020-04-19 21:59:53
6	Lakeshore	2020-04-19 21:59:58
7	Mammoth Lakes	2020-04-19 22:00:03
8	Fresno	2020-04-19 22:00:12
9	Yosemite National Park	2020-04-19 22:00:14
10	Clovis	2020-04-19 22:00:18
11	Prescott, Az	2020-04-19 22:00:24
12	Prather	2020-04-19 22:00:50
13	North Fork	2020-04-19 22:00:57
14	Auberry	2020-04-19 22:01:03
15	Yosemite Valley	2020-04-19 22:01:10
16	Tollhouse	2020-04-19 22:01:20
17	Mariposa	2020-04-19 22:02:00
